,Job Title,Company Name,Job Type,Job Location
0,Fleet Coordinator (HSE Focus – Oil & Gas),Confidential -,Full Time,"Cairo, Egypt"
1,Office Manager,Refaat Construction / Baxter  -,Full Time,"Cairo, Egypt"
2,Secretary,Ferrometalco steel construction -,Full Time,"Belbes, Sharqia, Egypt"
3,Front Desk Executive,Dr.Greiche  -,Full Time,"Heliopolis, Cairo, Egypt"
4,Administrative Assistant,Morphy logistics -,Full Time,"New Damietta, Damietta, Egypt"
5,Human Resources Generalist,Confidential -,Full Time,"Obour City, Cairo, Egypt"
6,Administrative Manager – Real Estate Development Experience,Winners Group -,Full Time,"Glim, Alexandria, Egypt"
7,Receptionist,iVein Clinic -,Full Time,"Sheikh Zayed, Giza, Egypt"
8,Data Entry - Night Shift - On-site,K Line Europe -,Full Time,"Nasr City, Cairo, Egypt"
9,Executive Secretary,Modern travel and fleet fix for limousine and maintenance  -,Full Time,"Cairo, Egypt"
10,HR Assistant,Medecins Sans Frontieres -,Full Time,"Maadi, Cairo, Egypt"
11,Housekeeping Manager,Wadi Degla Clubs  -,Full Time,"Cairo, Egypt"
12,Senior Secretary,Winners Group -,Full Time,"Glim, Alexandria, Egypt"
13,Executive Marketing Associate,Confidential -,Full Time,"Cairo, Egypt"
14,Administrative Assistant,Firoz Group -,Full Time,"Obour City, Cairo, Egypt"
15,Sales Back Office Specialist,Fine Hygienic Holding -,Full Time,"Giza, Egypt"
16,Site Administrative Assistant,Mobco Civil Construction -,Full Time,"New Cairo, Cairo, Egypt"
17,Receptionist,Ostool Transport -,Full Time,"Sheikh Zayed, Giza, Egypt"
18,Executive Secretary,Dani Pack  -,Full Time,"Cairo, Egypt"
19,Human Resources Recruiter,AIContentfy -,Full Time,"Maadi, Cairo, Egypt"
